Title,URL,Date,Content,Category,Sentiment,People,Source
"Registration of all citizens essential, says Masere",https://www.thenational.com.pg/registration-of-all-citizens-essential-says-masere/,10/10/2025,"ADMINISTRATIVE Services Minister Richard Masere says the registration of all citizens under the National Identification (NID) project is essential for people to access basic services in the country. Masere said despite the negative attention drawn by the NID project over the years, its purpose remained to ensure that all citizens had access to a legal form of identity recognised by the State. He said the NID project, which ran as a standalone Government programme since 2014, was now given to the statutory body, PNG Civil and Identity Registry, to implement. The project, among its other functions, issues a card as the official document issued to Papua New Guinean citizens as proof of identity legislated by the Civil Identity Registry Act 2024. “Since its inception, the NID project was dogged by so much controversy with legacies that continue to overshadow the project, even with the new office of the PNG Civil and Identity Registry,” Masere said. “Despite early controversies with the project, its mission remains vital to providing people access to services like health and education. “The persistent challenges of underfunding, limited staffing and outdated infrastructure, have affected the implementation of the NID project over the years. “Now, the PNG Civil and Identity Registry continues to uphold its mandate: registering births, adoptions, marriages, divorces, and deaths, and issuing NID cards. “These cards, compulsory for all citizens aged 18 and above, are foundational to accessing essential services such as education, healthcare, travel, banking. employment and landowner royalties.” Masere said the NID project was an integral part of the Government’s agenda to provide legal identity for all, including using this data with other agencies to allow ease of services to the people. “In an era shaped by digital economies and data­driven governance, legal identity is more than a personal credential, he said.",Government,Trust,Richard Masere,The National
200 PLWDs registered with organisation in Lae,https://www.thenational.com.pg/200-plwds-registered-with-organisation-in-lae/,10/10/2025,"LAE Disability Voice of Hope Charity Incorporated has registered 200 persons living with disabilities (PLWDs) this year for its programmes. It is a community-based non-profit organisation that aims to improve the lives of PLWDs in Lae. Community engagement officer Elsie Ruru said the organisation had more than 10 groups that supported the programmne through providing shelter, essential and opportunities for PLWDs. “There is a total of 17 shelters that we support in Lae, Huon Gulf and Nawaeb,” she said. “The 17 shelters have volunteer caretakers who look after more than 200 PLWDs. Ruru said the organisation not only looked after PLWDs but ensured that caregivers were also well taken care of. “Many a times we focus on the PLWDs and forget about their caregivers who spend most of their time looking after them,” she said. “Our programmes are not only about providing essential items such as food and clothes but we also do house maintenance, medical care help, and social inclusion. “We have projects such as building a kitchen in Bumayong to provide a clean facility for preparing food, a chicken poultry project and sewing project for PLWDs to generate income for themselves.” Ruru said they were working with the Australian Awards to send those who had completed Grade 12 for further studies. “Since we are a non-profit organisation, we do need sponsorship and donations to continue our work, but we are still doing our research and community work in finding and registering PLWDs so that they can have equal access to all services,” she said. Ruru said they had a strong working community, with chairman Bill Hodges ensuring that the organisation – alongside donor partners – helped wherever it could. The organisation was initiated by the Hodges Family and formally established in 2023 as a separate legal entity of Soltra Builders.",Charity,Trust,Nill,The National
Nepo accused of contempt,https://www.thenational.com.pg/nepo-accused-of-contempt/,10/10/2025,"A CONTEMPT charge has been filed in the National Court against acting Correctional Services (CS) commissioner Bernard Nepo for non-compliance of a court order. David Suagu, deputy commissioner of operations, filed the originating summons 173 against Nepo on Sept 18. Suagu claims that pursuant to Order 14, Rule 42 (1) of the National Court Rules, Nepo be charged with contempt of court over the alleged wilful and unlawful persistent disobedience of the National Court orders of Aug 1. Judge Oagile Dingake made the orders in the proceedings OS JR 40 of 2025 between Suagu and Nepo and the State. A copy of the judgment was delivered to the parties. According to a court document, more than six weeks have passed since the making of the orders and it is alleged that no steps have been taken to comply with order No.6 made by the National Court, in particular to: The matter is pending before the court, and is awaiting a hearing date.",Law,Anger,Nill,The National
Police say social media created more work for them,https://www.thenational.com.pg/police-say-social-media-created-more-work-for-them/,10/10/2025,"USE of social media has created more challenges for police in their work, they say. Deputy Police Commissioner, administration, Dr Philip Mitna, said normally they followed their Occurrence Book (OB) and they knew there was a crime reported and then it was tasked to various investigators to proceed with the case. “With social media, it is quite a challenge, we sometimes have faceless and nameless people putting reports online and expecting us to do our work and that is a challenge of its own,” he said. Dr Mitna said this in response to a series of questions by West New Britain Governor Sasindran Muthuvel, who is member of Parliamentary Committee on Media, during the hearing in Port Moresby on Wednesday. Muthuvel asked: Dr Mitna, in response, said citizen journalism has serious challenges for them. “We’ve attempted and, in some instances, identified the complainants but almost 70 per cent of them do not come forward to give additional information,” he said. Dr Mitna explained that in order for cases to proceed to court they needed additional information and facts even if the police seephotos or clips of the crime committed. Meanwhile, Dr Mitna said the Cybercrime Unit at Seven-Mile in Port Moresby was functional and prosecuting cybercrimes He added that their work with Nicta and Department of Information and Communication Technology (Dict) was work in progress in terms of cyber space.",Technology,Frustration,Sasindran Muthuvel,The National
Tomuriesa questions Pukpuk Defence treaty,https://www.thenational.com.pg/tomuriesa-questions-pukpuk-defence-treaty/,10/10/2025,"OPPOSITION Leader Douglas Tomuriesa says the Pukpuk Defence Treaty with Australia has raised questions on Papua New Guinea’s sovereignty, foreign and policy alignment and long-term national interest. He said the first core principles of the treaty undermined PNG’s sovereignty and territorial boundary. “If interpreted, it means if war was not meant for us, will become our wars and Australia’s enemies will become our enemies in the event of any invasion,” Tomuriesa said. “The treaty appears to conflict with PNG’s two long-standing foreign policies of being friends to all and enemy to none and the Look North Policy.” Tomuriesa said this could undermine diplomatic flexibility and reduce opportunities for cooperation with PNG’s key economic partners He said for a developing nation with an open foreign policy, this could jeopardise foreign investments, particularly with China and Japan, which played significant roles in PNG’s economic development. “Restricting military engagements with these nations may send unintended signals and risk destabilising the very investments that sustain our country,” Tomuriesa said. Tomuriesa added that the Government should focus on securing economic treaties and communique rather than securing military treaties. He questioned whether the treaty would benefit the nation or it was just another “boomerang” treaty, which would facilitate only Australia’s security interest. Tomuriesa said one hurdle remained for the treaty and that would involve the Parliament to debate and vote when Parliament resumed on Oct 28. He urged all MPs to critically evaluate and vote for the interest of PNG to safeguard its sovereignty, national interest, and maintaining stronger ties with the country’s bilateral partners.",Politics,Fear,Douglas Tomuriesa,The National
Tsiamalili defends Pukpuk Treaty,https://www.thenational.com.pg/tsiamalili-defends-pukpuk-treaty/,10/10/2025,"Autonomous Region of Bougainville Regional Member and Police Minister Peter Tsiamalili Jr says the Pukpuk Treaty establishes a comprehensive framework for collaboration across land, sea, air, cyber and space domains anchored on mutual respect for sovereignty, peace and constitutional integrity. “The treaty reaffirms both nations’ commitment to peace, sovereignty and mutual security, and establishes a comprehensive framework for collaboration across all operational domains,” Tsiamalili said. He said the treaty upheld Papua New Guinea’s sovereignty, and ensured that all defence cooperation activities remained subject to PNG’s laws and oversight, strengthening the country’s ability to respond to external threats without compromising internal governance. “This is a partnership of equals. It strengthens PNG’s ability to respond to external threats without compromising our internal governance or political arrangements,” he said. Tsiamalili said while the treaty’s focus was on national defence, it offered indirect but meaningful benefits for Bougainville and its youths. He said the agreement unlocked pathways for Bougainville school-leavers to access professional development, technical training, and employment opportunities. “Like the seasonal worker arrangements, this treaty provides young Papua New Guineans and Bougainvilleans access to critical training that builds capacity, resilience and long-term cooperation.” Tsiamalili added that the treaty respected the Bougainville Peace Agreement and the ongoing post-referendum dialogue, adding that any activities under the treaty within Bougainville would require consultation with the Autonomous Bougainville Government (ABG). “The treaty respects the Bougainville Peace Agreement and the constitutional framework guiding our peace process,” he said. “Any engagement in Bougainville under the treaty would require full consultation with the ABG, consistent with existing protocols,” he said. Tsiamalili said this was not just an agreement but a platform for trust, development and shared responsibility in a changing region. He said it would build on decades of collaboration, and reflected the enduring friendship between both nations.",Politics,Trust,Nill,The National
New Porgera manager wants Enga government to protect mine’s interest,https://www.thenational.com.pg/new-porgera-manager-wants-enga-government-to-protect-mines-interest/,10/10/2025,"ENGA needs to protect the New Porgera Limited (NPL) because the provincial government holds 15 per cent equity, says NPL country manager Karo Maha. Maha was speaking on the operations of NPL, in spite of the many challenges it faced, including law and order issues, in a summit in Wabag on Oct 2 aimed at finding a way forward. Maha, in acknowledging the partnership between NPL and the provincial government, said NPL started its operations last year and did not declare any profit, but made a tax contribution of K155 million. This year, from its first half of operations, NPL paid K500 million in taxes, and declared US$230 million (about K959.8 million)  in dividends, she said, adding that five per cent of the amount went to the provincial government. But NPL could be making more money and producing more gold if it had operated from a stable and safe working environment, Maha said. She said NPL continued to face stoppages that resulted in a day’s loss of K300 million in revenue from disturbances caused by illegal miners inside the pit. “We have highlighted to the prime minister, police minister, and mining minister, for the State to intervene. The State is primarily responsible for law and order,” Maha said. “The illegal miners are of threat to our workforce and assets. “Our workers continue to be robbed and harassed inside the open pit. “They are slashed and stoned, equipment burnt when we clear the illegal miners out in the open pit. “All of these add to the mounting expenses of the company, and impact our profit.” Maha said the chief inspector of mines could close down the operations if the issue on illegal mining was not addressed by the State. She said 129,979 trespassers in the open pit had been recorded from January to last month. Maha said employees were being robbed and security personnel shot at by illegal miners. She said Porgera required sufficient security manpower. Maha said through consultations with the Government, NPL had proposed a new tax credit scheme where three to four per cent of accessible tax income be made available to law and order programmes, investing in police and Correctional Services infrastructures. She said NPL, under a temporary arrangement, is taking in a district court magistrate to hear cases. “It is not an easy fix, and it involves a lot of things, but we all need to work together with the landowners to make Porgera safe,” Maha said. “One of the things we have done in our commercial agreement, is to put up US$15 million (about K62.74 million) for Porgera landowners, on the condition that we have a safe and exclusive environment of our tenements. “In other words, no illegal miners, no trespassers.” Maha said the thing that NPL would like to see happening quickly was that through the community development agreement (CDA), to be negotiated, underlined and signed, so benefits could flow to the people on the ground. Prime Minister James Marape said the CDA would be signed off by the end of this month. NPL has approved its national content plan, Maha said. She said the content plan would cover business development and employment. Maha said the plan would be launched before the end of the year. It was made known in the summit that illegal miners were from other districts, and persons with influence sponsored the activity.",Business,Fear,James Marape,The National
Marape describes Japan as a sincere and genuine friend,https://www.thenational.com.pg/marape-describes-japan-as-a-sincere-and-genuine-friend/,10/10/2025,"PRIME Minister James Marape has described Japan as a “sincere and genuine” friend for its five decades of continued support to Papua New Guinea. “A friendship built through infrastructure development forged forward from the battles fields of World War Two (WW2) and a gateway into the future,” he said. Japan’s consistent help to the country, under the Official Development Assistance (Oda), exceeds 50 years, with its golden celebrations in October last year. Under the Oda, Japan has contributed immensely to PNG in terms of social, infrastructure, health, education and economic development. It has over the years pumped in more than K6 million to aid development projects under Japan International Corporation Agency (Jica). In October 2023, a new international airport near Lae was opened. It was renamed Nadzab Tomodachi International Airport. The name was proposed by Marape to honour the history between PNG and Japan. This project was part of Jica’s long-term infrastructure support. It was a loan project that supported the construction of a new passenger terminal, upgrade of new runways, construction of taxiways, and renovation of the control and fire towers. At the opening ceremony, Japanese dignitaries, including then foreign affairs minister Horii Iwao, and local leaders attended the opening. PNG shares a historical connection with Japan where in 1943, during WW2, it was the sight for fierce battles where more than 150,000 Japanese imperial Japanese soldiers lost their lives in what was known as the “place of no return” for Japanese troops in New Guinea. Imperial Japan had established bases in places such as Rabaul, Buna and Lae but in 1943, the allied forces launched an airborne operation on Nadzab, quickly capturing the airfield and turning the tide of war. The airfield became a strategic base for allied counter-attacks, known as the “Northern Australian Defence Zone Air Base (Nadzab)”. Once a place of conflict between Japan and allied forces, Nadzab now stands as a symbol of peace and friendship. The airport, named “Tomodachi”, which means “friend” in Japanese, serves as a powerful reminder of hope. Marape said: “Jica has supported airport development throughput PNG, including the Jackson International Airport in Port Moresby and Tokua Airport in East New Britain. “Strengthening airport infrastructure and improving maintenance capacity not only supports economic growth and regional development but enhances to disasters and climate change by servicing as crucial logistics hubs during emergencies. Airport infrastructure plays a strategic role in deepening bilateral trust and partnership, facilitating the entry of Japanese investors and supporting stable energy supplies to Japan. “PNG, rich in natural resources, is a crucial partner for Japan, in terms of economic security. “Imports from PNG account for about 97 per cent of Japan’s total imports from Pacific Island nations. “PNG exports liquefied natural gas, crude oil, copper, nickel, timber, marine products, palm oil and more to Japan.” Marape said PNG was expected to achieve significant growth in the near future. But challenges in economic infrastructure still existed, including airport infrastructure, and continued cooperation was essential for a sustainable development of PNG, he said. The great east Japan earthquake in 2011 was testament to PNG being a true friend, when voluntary fundraising and charity events were held across PNG. A total of K10 million (about ¥320 million), including a government contribution, was donated to Japan. Marape’s words at the beginning reflected the appreciation towards Japan’s long-standing support, even before PNG’s independence in 1975. “In this 80th year since the end of WW2, with the remains of Japanese soldiers still resting in PNG soil, we hope we carry forward what our predecessors have built and continue being a genuine friend,” Marape said.",Politics,Trust,James Marape,The National
Safe houses face severe challenges,https://www.thenational.com.pg/safe-houses-face-severe-challenges/,10/10/2025,"SAFE houses in Papua New Guinea face severe challenges which include underfunding and acute staff shortages, according to a survey. The safe house 2024 baseline report stated that a major challenge in 51 operating safe houses in 17 provinces was sustainability in terms of funding and management of the safe houses. It said in recent years, cases of gender-based violence (GBV) had increased at an alarming rate, making the cases one of the highest in the world. According to a National Statistics Office (NSO)’s demographic and health survey (2016-2018), 84 per cent of women aged 15 to 49 had experienced some form of physical and sexual violence since the age of 15. A recent family support baseline assessment conducted in nine provinces, including the main centres of Lae (Morobe), Goroka (Eastern Highlands), Mount Hagen (Western Highlands) and National Capital District (NCD), had received more than 177 service users. This had since increased to more than 200, by which a majority of them were adult and child females with a few male service users. The report said as alarming as it seemed, these statistics were but a proportion of the reality and did not encompass the other service providers also supporting GBV and family sexual violence (FSV) survivors. In PNG, the first safe house to be established is Haus Ruth, considered the oldest in the country. It first opened in 2003, and after that many other organisations and groups had opened safe houses to address the rising need in the community. It was noted that most of the safe houses and accommodation were operated and managed by either a faith based organisation (FBO), a church, a non-government organisation or were simply self-funded and self-run. That meant they were individual entities with their own policies, rules, processes, structures and operations independent from the Government and to some degree, different from each other. The report said it was crucial at this time to have government intervention for the long term functionality of safe houses. Youth, Religion and Community Development Minister Jason Peter said the NSO’s demographic and health survey  (2016-2018) wasa critical step forward in addressing the need for safe, secure and accessible shelters for those who were most vulnerable in the communities. Peter said as minister, he would ensure adequate resources were committed to conditions and setting standards for safe houses in Papua New Guinea.",Health,Sadness,Jason Peter,The National
"Sinai opposes liability in use of vehicles, properties",https://www.thenational.com.pg/sinai-opposes-liability-in-use-of-vehicles-properties/,10/10/2025,"Electoral commissioner Simon Sinai says the Electoral Commission (EC) will not be held vicariously liable for any vehicle, property, or asset used in connection with electoral process without the prior written approval from the EC. Sinai, in a statement on Wednesday, said the written approval should come from him or the deputy commissioner and directors. “Any individual or organisation that chooses to deploy vehicles or other services for electoral related purposes without formal authorisation does so at their own risk and expenses,” he said. “The commission will not assume responsibility for any claims, damages, losses or liabilities arising from theunauthorised use of such assets. “This clarification is issued to ensure transparency, accountability, and proper adherence to approved procedures during electoral purposes and other related purposes.” Sinai said this advice was to ultimately avoid unnecessary liabilities against the State.",Politics,Trust,Nill,The National
Rosso: Let Wenge’s story inspire younger generations,https://www.thenational.com.pg/rosso-let-wenges-story-inspire-younger-generations/,10/10/2025,"LET the late Morobe Governor Luther Wenge’s story be an inspiration to the younger generations, says Deputy Prime Minister John Rosso. Rosso made this remark as he told the story of the late governor, who left his remote village of Baindoang, in the hinterlands of Morobe where there is no proper airstrip and road access. “The late governor’s parents were missionaries, and he used to follow his parents around until they resided at Hobu village, also in Nawaeb,” he said. “Despite the remoteness of his village, he searched for education, following his missionary parents to Hobu to pursue education.” Rosso told the public that through his determination, perseverance and dedication, the late Wenge became a lawyer and climbed the leader to being a magistrate and later an acting judge. The late Wenge then joined politics in 1997, where he became the governor of Morobe and represented the province for four terms. “He is a great orator, a great statesmen and a firm defender of the constitution,” Rosso said. He said that the late Wenge’s story, which led him to become a well-known person, portrayed that despite coming from remote areas, one can be successful through dedication and perseverance. “It is a lesson he had shown,” Rosso said. “All it takes is commitment, perseverance and good choice in life.” After leaving his village in search education and pursuing his dreams, the late Wenge had made a final wish on his sick bed to be laid to rest where he first walked. “We were advised by his son, Mathew Wenge, that the late governor wished to be buried at his grandmother’s village (Baindoang),” Rosso said. “That place has no road access, and it was his will for us to complete the road construction he had started to connect his people with government services. “We will make sure some of his visions become reality.”",Inspiration,Trust,"John Rosso, Luther Wenge",The National
Chief secretary wants updates from department’s policy officers,https://www.thenational.com.pg/chief-secretary-wants-updates-from-departments-policy-officers/,10/10/2025,"CHIEF secretary to Government Ivan Pomaleu has directed policy officers from the Department of Prime Minister and the National Executive Council to provide information on the progress of key sectors under policy wing one and policy wing two of the department. This comes as a result of complacency in work performance and tardy delays in providing feedback, Pomaleu said. He made these remarks during his address to the department’s policy officers in Port Moresby on Sept 29. “Let me first preface my remarks by reflecting on the last four years so that you are aware of the background that I come from,” he said. “So the last four years now, I have been quite observant of the amount of work that we are doing as a department.” Earlier this year, Prime Minister James Marape summoned various agencies, including the department, for their failure to provide timely information and progress updates for each sector. Marape had expressed his dissatisfaction with the level of support the department was delivering to his office, the Government, and its established agenda and priorities for key sectors. Pomaleu said: “It was clear to me that he was dissatisfied with the level of support that the department is providing to his office, to the government, to the agenda that is established by the Government in terms of priorities, the sectors that we should be pushing and engaged in.” Pomaleu said the system of government was such that if you did some reflection, you would find that policies were generally the same. He said the emphasis in terms of priority might differ depending on which government was in office. Pomaleu said these government intentions were significant and primarily conveyed through public announcements by the prime minister or relevant cabinet ministers. “So what we find is that a lot of what the Government intends to do in the time of office is dictated by the different public pronouncements that the prime minister and minister of state do from time to time, the different press and different parliamentary statements that come,” he said. He said Marape was disappointed to note that the department lacked agility in responding to these government expectations and provide feedback on time. Pomaleu said some pronouncements made by Marape in 2019 had yet to be acted upon, thus raising questions about the department’s role as the agency responsible for implementing the prime minister’s intentions.",Government,Anger,James Marape,The National
ABG members to be sworn in today,https://www.thenational.com.pg/abg-members-to-be-sworn-in-today/,10/10/2025,"THE inauguration of the fifth Bougainville House of Representatives is scheduled to be held in Buka today. According to a notice by the Autonomous Bougainville Government, all elected members in the recently-concluded general election will be sworn into office to take the 45 seats for the 38 single-member constituencies, plus three regional seats for women and ex-combatants, and the presidential seat. The Bougainville constitution recognises the House of Representatives (parliament) as the region’s legislative arm of the government which has 45 seats. Previously, there were 40 seats but the Bougainville parliament approved another five last year to accommodate the new single-member constituencies. Chief Justice Sir Gibbs Salika is expected to preside over the swearing-in ceremony, followed by the election of the new Speaker and Deputy Speaker of the Bougainville parliament. Prime Minister James Marape and Bougainville President Ishmael Toroama are scheduled to give their keynote addresses at the event. Meanwhile, Toroama had announced the caretaker Bougainville Executive Council (BEC), following the swearing-in ceremony presided by resident judge Justice Peter Toliken in Buka on Monday. The caretaker BEC comprises Toroama, Tonsu member Ezekiel Masatt as vice president, and Atolls member Amanda Masono. Toroama said the occasion was an important step in Bougainville’s democratic process, signifying a time of transition, continuity and renewed commitment to serving the people. “During this caretaker period, our priority is to safeguard good governance and maintain the trust and confidence of our people,” he said.",Politics,Trust,James Marape,The National
6.6 earthquake causes chaos at Wenge’s funeral,https://www.thenational.com.pg/6-6-earthquake-causes-chaos-at-wenges-funeral/,09/10/2025,"IT was a chaotic scene for some attending thehauskraiof the late Morobe Governor Luther Wenge when the 6.6 magnitude earthquake struck near Lae on Tuesday night. The Nationalwas at the Sir Igantius Kilage Indoor Stadium when it hit just past 9pm. The Hela provincial group had concluded their speeches and the late Governor Wenge’s casket was about to be taken back to the funeral home. People were slowly filing out of the stadium when the earthquake struck. It shook everything strong and hard. Ceiling lights swung violently, chairs and decorations were thrown about. A panic-stricken crowd scrambled to safety, pushing through doors and windows to get outside. Thankfully, the threat of a possible tsunami was ruled out by the Department of Mineral Policy and Geohazard Management. Calm and order was restored in coastal communities of Morobe and nearby provinces later. The Nationalreached out for a comment from the Morobe disaster office. It is yet to release the initial report of the earthquakes impact. There was not much damage reported, with only a few traditional huts collapsing, and power outages in certain areas in Lae. PNG DataCo also reported a network outage affecting Momase, Highlands, and New Guinea Islands following the earthquake. A statement said: “Preliminary investigations suggest possible multiple submarine cable breaks. DataCo’s technical teams are currently assessing the extent of the damage and working to restore connectivity. “As a result, internet and data connectivity into these regions may be limited or unavailable today.” The University of Technology’s seismic station at the School of Applied Physics recorded the earthquake at 9.06pm, with a 6.6 magnitude occurring at a depth of 99km near Gabensis and Wampit. Tremors were felt as far as Southern Highlands and the New Guinea Islands.",Disaster,Fear,Luther Wenge,The National
WNB House rental arrears clears on Thursday: Penias,https://www.thenational.com.pg/wnb-house-rental-arrears-clears-on-thursday-penias/,09/10/2025,"FINANCE Secretary Samuel Penias says that rental arrears for Government agencies occupying the West New Britain (WNB) House in Port Moresby will be paid today. He toldThe Nationalyesterday that paperwork had been done and sent to the Bank of Papua New Guinea under the Kina Automated Transfer system (KATS) for clearance. It should be cleared today. The media was notified though a notice from the Solicitor-General’s office of an indefinite closure after civil servants were turned away at the gate on Monday. The WNB government in a notice advised that the unpaid rentals amounting to more than K30 million had severely impacted cash flow, making it increasingly difficult to sustain services for the tenants’ benefit. The property continued to incur significant monthly costs to maintain services at WNB Haus, including cleaning, security, generator refuelling and servicing, and lift maintenance. The managing agent, Realtor, was asked to issue a 14-day lockout notice. And unless the arrears are settled by Oct 6, access to WNB Haus will be locked from Oct 7. The premises are still closed. The closure was effected by firstly stopping the refuelling of the generator. The 10-floor building that holds office spaces and amenities is an investment under the WNB government for the people of WNB. The Realtor agency was engaged by the provincial government prior to it being opened. A guarantee letter from the Government, on June 3, undertook to pay K3 million per month towards the settlement of arrears dating back to 2022, including the reimbursement of fuel bought for the generators.",Business,Anticipation,Nill,The National
Late Wenge ‘refused’ treatment overseas,https://www.thenational.com.pg/late-wenge-refused-treatment-overseas/,09/10/2025,"THE late Morobe Governor Luther Wenge chose to be treated at the Port Moresby General Hospital instead of in Australia because of his confidence in “our doctors”, Lae MP John Rosso said. “The Prime Minister James Marape, the Morobe administration and Angau Memorial General Hospital chief executive officer Dr Kipas Binga called him to airlift him to seek medical treatment in Australia. But he refused,” he said. “He requested to be treated at the Pom Gen trusting and having faith in our doctors. “Therefore, we respected his decision.” Rosso, also the Deputy Prime Minister, was responding to public query on why Wenge was not assisted to seek medical treatment overseas. “The late Wenge chose to be treated at our (own) hospital and died at our hospital,” he said. Rosso added that the late Wenge had always held Papua New Guinea and Morobe close to his heart, and fought for what he believed was right and according to the constitution. “He was without doubt one of the most legal, intelligent and outspoken leaders our country has known,” he said. “He championed education, infrastructure and empowering people. “He was a fearless governor, who didn’t care about anyone as long as he believed in the rule of law – fairness, equality and justice for every citizen despite their background. “He was a humble, kind and generous person, never forgot his roots in Samanzing, and always gave back to his community. “Wenge lived in the settlement until he died.”",Politics,Trust,"James Marape, John Rosso, Luther Wenge",The National
Rosso reveals Wenge’s projects were commissioned during casket tour,https://www.thenational.com.pg/rosso-reveals-wenges-projects-were-commissioned-during-casket-tour/,09/10/2025,"SOME of the projects the late Morobe Governor Luther Wenge were to commission were done during his casket’s tour of districts, an official says. Deputy Prime Minister, Lae MP and chief mourner John Rosso said this during his funeral service. “Some of the projects he delivered to the districts were not properly commissioned before he passed away, hence people were waiting for him to personally attend and commission them,” he said. “The late governor had set dates to visit each of the projects in the districts to commission them, but his sudden death has left those projects uncommissioned. “And during these past few days of visits made to the districts, some of the projects were opened, and he even used them where his casket was laid for final respects.” Some of those projects were: “In a way, he was commissioning those projects during his visit in a casket,” Rosso said. “You will not know a person until he/she dies. “In these past four days, I’ve observed the sorrow people showed, and I noticed how people hold Wenge close to their hearts. “When we are alive, we are not aware and recognised of the work we deliver, but when we die, things we do are being told and people are aware. “And that was our late Governor, Luther Wenge, who is popular in the remote places of Morobe.” Rosso further shared that the people of Siassi were waiting for him to attend the upcoming ELCPNG synod in 2026, following the presentation of K2 million he made. “In Markham, he and the Markham MP Koni Iguan had planned to build a stadium, and the people of Markham had agreed to name the field after him to honour his commitment and leadership,” he said.",Politics,Sadness,"John Rosso, Koni Iguan, Luther Wenge",The National
Chairman Narewec stresses need for partication in ‘last’ inquiry,https://www.thenational.com.pg/chairman-narewec-stresses-need-for-partication-in-last-inquiry/,09/10/2025,"THE Parliamentary Committee on Communications started its two-day inquiry into the standard and integrity of journalism and the media industry in Port Moresby yesterday. Committee chairman and Wau-Waria MP Marsh Narewec said this would be the final inquiry conducted after it started last year and continued with regional consultations earlier this year. Representatives from the Office of Censorship, Department of Information and Communications Technology, National Information and Communications Technology Authority, National Broadcasting Corporation and the Royal PNG Constabulary were present before the committee during yesterday’s hearing. “The committee is conducting its final inquiry so we have called on relevant authorities today (yesterday) to ask questions that were raised during our regional consultations,” Narewec said. “We will be following up on the questions they raised, including what we asked of you all in our previous inquiry last year to see if any of the recommendations the committee made have been implemented. “This enquiry is important as it will help us to finalise our report to present to Parliament.” Meanwhile, the committee held a workshop on Tuesday with journalists, civil society organisations, government representatives, academics and stakeholders. The committee’s terms of reference are on the: Today’s session will be attended by representatives of the mainstream media, including those from other relevant sectors and social media influencers.",Politics,Anticipation,Nill,The National
Nicta eyes 5G technology to improve internet,https://www.thenational.com.pg/nicta-eyes-5g-technology-to-improve-internet/,09/10/2025,"THE National Information and Communications Technology Authority (Nicta) plans to improve network connectivity in the country through the use of 5G technology by next year. Nicta chief executive officer Kila Gulo-Vui said this would enhance internet and mobile services for users, starting in urban areas and then into rural communities. He made these remarks during the Parliamentary Committee on Communications inquiry in Port Moresby yesterday. Committee chairman and Wau-Waria MP Marsh Narewec asked Gulo-Vui whether or not Nicta had plans to roll out 5G technology in the country as internet and communication services continued to be issues. Narewec said every citizen had a right to access information under Section 51 of the Constitution, adding that the 5G technology could help with faster connectivity to access services and information online. “Much of the things we do nowadays relies on the internet and network connections, especially in this time of digital transformation,” he said. “Even the people in the rural areas are using smartphones and we cannot underestimate them. “They are using it for communication and business so they must be able to have access to these services if we provide it for them. “When will Nicta, as the regulator of ICT services, focus on 5G services to help our people? “We need to ensure that this service is provided so our people do not miss out.” In response, Gulo-Vui said: “We have plans for the 5G rollout but currently Nicta is working to plan the radio spectrum, which is basically the airwaves that the signals go through. “This is part of the 5G planning and the spectrum is all set as it was announced by acting ICT Minister Peter Tsiamalili Jr.",Technology,Anticipation,Peter Tsiamalili Jr.,The National
"Act under review, says censor",https://www.thenational.com.pg/act-under-review-says-censor/,09/10/2025,"AN act for classification guidelines for digital contents on social media in Papua New Guinea is under review, says an official. Chief Censor Jim Abani said Censorship Act 1989 was developed when there was no internet and social media platforms and it is 33 years in existence now. “With the advancement of technology, the office identified the issues, and the act is now under final review with the Office of Public Solicitor,” he said. Abani was responding to question raised by Permanent Parliamentary Committee on media chairman Marsh Narewec, about what classification guidelines are for the Office of Censorship updating for digital content for social media content that promotes negativity and harmful contents like videos promoting violence during the committee hearing in Port Moresby yesterday. Abani said they had developed a classification guideline on online content that is something that they had to wait until the act was passed. “But we don’t have to wait for the act to be passed. We are now implementing that in terms of the classification guidelines that have been developed for online content,” he said.",Politics,Anticipation,Nill,The National
Women researchers to attend training,https://www.thenational.com.pg/women-researchers-to-attend-training/,09/10/2025,"A CAPACITY building and networking programme for women researchers will be held in Lae in November, supported by the Australian government. It follows on from a successful programme conducted in Port Moresby in June that attracted 41 participants. The Australian Asia Pacific Economy Cooperation (Apec) Study Centre at Royal Melbourne Institute of Technology University, Melbourne, in collaboration with the Papua New Guinea-Australia Partnership, is delivering the three-year capacity building programme to enhance the research skills of women in PNG’s agricultural and economic research sectors. These women researchers completed the initial five-day workshop in Port Moresby. The training covered research methodology, data analysis and management, report writing, leadership, teamwork in research, data-driven decision-making, and policy assessment. Anna Kapil participated in the Port Moresby workshop. Kapil is a lecturer of economics at the School of Business and Public Policy, University of PNG, and recently completed her Master of International and Development Economics at the Australian National University. Reflecting on the workshop, Kapil said: “I think it’s a really good programme focusing on the need for research skills, particularly among early-career researchers. The group included researchers from public, private and research institutions and several universities. “This diversity highlights the range of challenges and capacities, so it was good that the workshop started with foundational concepts.”",Business,Trust,Nill,The National
